id,vuln_type,severity,fix_methods,recommended_fix_short
1,Cross-Site Scripting (XSS),High,Output encoding/escaping per context; Use safe templating with auto-escaping; Strict input validation/whitelisting; Sanitize HTML using well-maintained libraries; Content Security Policy (CSP) with script-src nonce/hashes; HttpOnly cookies for sensitive cookies; CSP report-uri for monitoring; Use frameworks' built-in protections; Apply WAF rules for XSS signatures; CSP + Subresource Integrity (SRI) for third-party scripts,"Escape all user-supplied data at output, sanitize stored HTML if needed, and enforce a strong CSP."
2,SQL Injection,Critical,Use parameterized queries / prepared statements; Use ORM query builders that parameterize inputs; Input validation & whitelists for identifiers; Avoid dynamic SQL string concatenation; Least-privilege DB user; Limit returned columns and rows; Use query parameter binding and stored procedures (careful with dynamic SQL inside); Database activity monitoring & WAF signatures; Escape only when absolutely necessary and with safe libraries,Replace concatenated SQL with parameterized queries and enforce input validation and least-privilege DB access.
3,Cross-Site Request Forgery (CSRF),High,Use per-session/per-request CSRF tokens and validate server-side; Set SameSite=strict or lax on auth cookies; Verify Origin and Referer headers for state-changing requests; Double-submit cookie pattern when necessary; Require explicit user interaction for critical actions (re-auth or 2FA); Use anti-CSRF libraries/framework middleware; Avoid GET for state-changing operations,Require a validated CSRF token for all state-changing requests and use SameSite cookie attributes.
4,Insecure Direct Object Reference (IDOR),High,Enforce server-side authorization checks for every resource access; Use unguessable identifiers (UUIDs or random tokens) not sequential IDs; Map user-owned resources in server-side ACLs; Principle of least privilege; Validate ownership/permissions on every operation; Logging and alerting for access anomalies; Rate-limiting on resource access attempts,Always authorize on the server for requested resources and avoid predictable IDs.
5,Command Injection,Critical,"Avoid executing shell commands with user input; Use language-native APIs instead of shell; If shell needed, use exec APIs that accept argument arrays (no shell interpolation); Strict input validation and allowlists; Drop privileges before executing; Use chroot/containers/sandboxing; Use seccomp/AppArmor/SELinux policies; Escape arguments only with robust libraries; Use timeout and resource limits",Replace shell invocations with safe APIs and strictly whitelist/validate any required inputs.
6,Insecure Deserialization,Critical,Avoid native/object deserialization of untrusted data; Use simple data formats (JSON) with schema validation; Use allowlists for allowed types; Sign/encrypt serialized payloads and verify signatures before deserialization; Run deserialization in isolated/sandboxed processes; Keep deserialization libraries up to date; Use safe parsers that prohibit executable types,Don't deserialize untrusted data; prefer validated JSON and verify integrity before parsing.
7,Stored XSS,High,Sanitize input before storage (remove scripts/unsafe tags) using vetted libraries; Escape on output according to context; Use Content Security Policy; Validate input length and allowed markup; Use stored-html sanitizers that preserve safe tags (if needed); Audit stored content rendering paths; WAF rules for stored payload patterns,Sanitize and/or encode stored user content and enforce CSP.
8,Open Redirect,Medium,Only allow internal redirects or use a server-side allowlist of domains; Use a token or key that maps to an approved URL instead of accepting full user-supplied URLs; Validate that redirect targets are relative or on the same host; Disallow full URLs from user input in redirect parameters; Log and monitor redirect usage,Validate redirect targets against an allowlist or use internal mapping keys.
9,File Upload Handling,High,Validate file type by magic bytes and content analysis; Enforce allowlist of MIME types; Store uploads outside webroot and serve via controlled handlers; Sanitize filenames and generate server-side filenames; Set safe filesystem permissions (no execute); Scan files for malware; Limit file size and rate; Use content-disposition and Content-Type checks; Use object storage with fine-grained access controls,"Validate and sanitize uploads, store them safely outside the webroot, and scan for malicious content."
10,Broken Authentication / Weak Password Storage,Critical,Use strong password hashing algorithms (bcrypt/argon2/PBKDF2) with salt and appropriate cost; Use per-user salts and consider a server-side pepper; Migrate weak hashes safely; Enforce multi-factor authentication (MFA); Implement account lockout/rate-limiting on login attempts; Use secure session management and rotate session on privilege changes; Secure password reset flows with short-lived tokens and verification,"Store passwords with strong hashing (argon2/bcrypt), enforce MFA and rate limits on auth flows."
11,Sensitive Data Exposure,High,Use TLS (HTTPS) for all transport and enforce HSTS; Encrypt sensitive fields at rest with proper key management; Rotate keys and use KMS or HSM; Minimize data collection and retention; Tokenize or redact PII in logs; Use field-level encryption for highly sensitive data; Audit access to secrets and use secret management solutions,"Encrypt data in transit and at rest, use proper key management and minimize stored sensitive data."
12,Insecure CORS Configuration,Medium,Set a strict allowlist of origins; Never echo request Origin blindly; Configure Access-Control-Allow-Credentials correctly; Use preflight checks and minimize exposed methods/headers; Use libraries/framework features to manage CORS; Set Vary: Origin header to avoid caching issues; Restrict endpoints that accept credentials,Restrict CORS to a specific origin allowlist and avoid reflecting the Origin header.
13,Missing Rate Limiting,Medium,Implement rate limits per-IP and per-account; Use exponential backoff and progressive delays; Apply burst limits and daily caps for expensive ops; Use CAPTCHA for suspicious flows; Throttle or queue expensive background jobs; Alert on unusual spikes; Combine with WAF for bot detection,Apply rate limiting and progressive throttling on auth and expensive endpoints.
14,Directory Traversal,High,Normalize and canonicalize paths; Reject input containing ../ sequences after normalization; Map user requests to a safe filename map or identifiers; Use platform-safe path APIs (no manual string joins); Serve files from a chrooted or dedicated directory; Enforce allowlist of accessible files; Use safe file-serve middleware,Canonicalize and validate file paths; map to allowed filenames or store files outside the webroot.
15,Exposed Debug/Admin Endpoints,Medium,Disable debug endpoints in production builds; Protect with strong authentication and IP allowlist; Require MFA for admin actions; Use feature flags or runtime checks to hide endpoints; Monitor and alert on accesses; Remove verbose error messages,Remove or restrict debug endpoints in production and require strong auth for admin interfaces.
16,Insufficient Logging & Monitoring,Medium,"Log authentication failures, privilege changes, and data access; Ensure logs are tamper-evident and centralized (SIEM); Redact PII in logs; Configure alerting for important events; Retain logs for an appropriate retention period; Test detection and response runbooks","Implement centralized, secure logging and alerting for security-relevant events."
17,Insecure Cookie Attributes,Medium,Set HttpOnly on session cookies to prevent JS access; Set Secure so cookies only sent over HTTPS; Use SameSite=strict or lax depending on needs; Set appropriate Path and Domain; Rotate session IDs on login/logout; Use short cookie expiration for sensitive sessions,"Set Secure, HttpOnly, and SameSite attributes and rotate session identifiers."
18,Open Source Dependency Vulnerabilities,High,"Regularly scan dependencies for known CVEs (SCA tools); Keep dependencies up to date; Use dependency allowlists and pin versions; Apply vulnerability patching policies and test updates in CI; Use SBOM and monitor dependency advisories; Limit privileges of libraries (e.g., run in restricted environment)",Continuously monitor and patch dependencies; maintain an SBOM and automated scanning.
19,Improper Input Validation,High,"Use strict server-side validation and typed schemas (JSON Schema, protobuf); Prefer whitelists over blacklists; Validate length, format, ranges; Normalize inputs early; Fail securely with clear errors; Use input parsing libraries that protect against edge cases; Use fuzzing in QA",Validate all inputs server-side using whitelists and schemas; normalize before use.
20,Weak TLS / Misconfiguration,High,Disable TLS 1.0/1.1 and weak ciphers; Prefer TLS 1.3 or TLS 1.2 with secure ciphers; Enable HSTS; Use modern certificate management and automate renewal; Enable OCSP stapling; Regularly scan with tls configuration tools; Use forward secrecy ciphers,"Harden TLS configuration, enable HSTS, and use modern ciphers with automated certificate management."
21,Local File Inclusion (LFI),High,Never use user-supplied input directly in file path functions; Implement strict allowlist of permitted files/paths; Use realpath() to resolve and validate paths before use; Ensure resolved path starts with expected base directory; Disable allow_url_include in PHP (php.ini); Use basename() to strip directory traversal sequences; Apply chroot or containerization to limit file system access; Log and alert on path traversal attempts; Use indirect file references (map keys to file names server-side); WAF rules to detect ../ and encoded variants,Validate and canonicalize file paths against a strict allowlist; never pass raw user input to file-include functions.
22,Remote File Inclusion (RFI),Critical,Disable allow_url_include and allow_url_fopen in PHP configuration; Never include or require files from user-supplied URLs; Use static file references or an allowlist of internal file paths only; Enforce egress firewall rules to block outbound HTTP from the app server; Input validation and strict allowlist for any file parameter; Use Content Security Policy; Containerize and restrict filesystem mounts; Monitor and alert on unexpected outbound connections from web server; WAF rules to block RFI payloads,"Disable PHP remote URL includes, use only internal allowlisted paths, and block outbound connections from the web server."
23,Remote Code Execution (RCE),Critical,"Avoid eval(), exec(), system(), shell_exec() with user input; Use safe language-native APIs instead of shell commands; Apply strict input validation and allowlisting; Sandbox application execution environment (containers, VMs, seccomp); Enforce least-privilege OS user for the app process; Apply WAF rules for known RCE payloads; Keep all libraries and interpreters patched; Use RASP (Runtime Application Self-Protection) tools; Disable dangerous PHP functions via disable_functions; Implement network segmentation to limit blast radius; Monitor process spawning from web server processes","Never execute user-supplied data as code; use safe APIs, sandbox the app, and keep dependencies patched."
24,Server-Side Template Injection (SSTI),Critical,"Never pass user input directly into template rendering functions; Use logic-less or sandboxed template engines where possible (e.g., Mustache); If using Jinja2, use sandbox mode; Validate and escape all user input before it reaches the template engine; Separate template code from data; Use allowlists for template variables; Apply WAF rules for template expression syntax ({{ }}, ${}, etc.); Code review all template rendering paths; Run template engine in isolated process with limited privileges",Never render user input as a template; use sandboxed engines and validate all template inputs strictly.
25,XML External Entity Injection (XXE),High,"Disable external entity processing in XML parsers (FEATURE_SECURE_PROCESSING, setFeature flags); Use JSON instead of XML where possible; Use allowlisted, hardened XML libraries; Disable DOCTYPE declarations if not required; Apply input validation to XML content; Use a WAF to filter XXE payloads; Scan for XXE in SAST/DAST pipelines; Do not process XML from untrusted sources without strict controls; Apply network egress controls to prevent out-of-band data exfiltration",Disable external entity and DOCTYPE processing in XML parsers; prefer JSON over XML for untrusted data.
26,Server-Side Request Forgery (SSRF),High,"Validate and allowlist target URLs/hostnames before making server-side requests; Block requests to private IP ranges (127.x, 10.x, 172.16-31.x, 192.168.x); Use a dedicated egress proxy that enforces allowlists; Disable redirects or validate redirect targets; Resolve and revalidate DNS on each request to prevent DNS rebinding; Avoid passing user-supplied URLs to HTTP client libraries; Use network segmentation and egress firewall rules; Monitor and alert on unexpected internal requests; Apply WAF rules for SSRF payloads; Avoid metadata service endpoints being accessible (cloud IMDS)","Allowlist permitted request targets, block private/internal IPs, and route outbound requests through a controlled egress proxy."
27,Path Traversal (Directory Traversal - Advanced),High,"Canonicalize paths with realpath() before any access check; Reject inputs containing ../, ..\ or URL-encoded variants (%2e%2e); Chroot or containerize the application file access; Use indirect references (map keys to file paths server-side); Apply OS-level read permissions limiting the app user; Log and alert on traversal attempts; Validate file extensions against an allowlist after canonicalization; WAF rules for path traversal patterns; Test with multiple encoding variants (double URL-encoding, Unicode normalization)",Always canonicalize and validate paths server-side; reject traversal sequences and confine access to an expected base directory.
28,Prototype Pollution (JavaScript),High,Avoid using user-supplied keys to set properties on objects without validation; Use Object.create(null) for dictionaries to avoid prototype chain; Use safe deep-merge libraries (lodash >= 4.17.21); Validate and sanitize merge/clone operations; Use JSON Schema validation before object operations; Apply eslint security plugins to detect prototype pollution patterns; Use Object.freeze(Object.prototype) in test environments; Keep dependencies updated; Prefer Map/Set over plain objects for user-keyed data,"Validate merge keys, use null-prototype objects for dictionaries, and keep deep-merge libraries updated."
29,Subdomain Takeover,High,"Audit DNS records regularly and remove dangling CNAMEs pointing to deprovisioned services; Claim or release subdomains before removing cloud resources (S3, GitHub Pages, Heroku, etc.); Use automated tools (subjack, nuclei) to scan for dangling subdomains; Implement DNS monitoring and alerting; Apply strict CSP on parent domain; Use HTTPS everywhere to reduce session hijacking from taken-over subdomains; Maintain an inventory of all active subdomains and their backing services","Audit DNS for dangling CNAMEs, remove or claim subdomains before deprovisioning services."
30,Clickjacking,Medium,Set X-Frame-Options: DENY or SAMEORIGIN headers; Use Content-Security-Policy frame-ancestors directive (preferred over X-Frame-Options); Implement frame-busting JavaScript as a defense-in-depth measure; Audit all sensitive pages for framing protection; Test with browser developer tools to verify headers are applied; Use security header scanners (securityheaders.com) in CI/CD pipeline,Apply X-Frame-Options and CSP frame-ancestors headers to prevent your pages from being embedded in iframes.
31,HTTP Request Smuggling,High,"Use HTTP/2 end-to-end where possible (eliminates CL/TE ambiguity); Configure frontend and backend servers to use the same parsing standard; Disable support for ambiguous Transfer-Encoding headers; Use HTTP/1.1 normalization at the reverse proxy; Keep web servers and proxies (nginx, HAProxy, Apache) fully patched; Test with Burp Suite's HTTP Request Smuggler extension; Use strict HTTP parsing in all components; Monitor for anomalous 400/500 responses indicative of desync",Use HTTP/2 end-to-end and ensure frontend/backend agree on Transfer-Encoding handling; keep proxies patched.
32,Mass Assignment,High,"Use allowlists (strong parameters, @JsonProperty allowlists) to explicitly permit only expected fields; Never bind raw request bodies directly to model objects without filtering; Use DTOs (Data Transfer Objects) to map request data to business objects; Review all model binding configurations; Apply SAST rules to detect mass assignment patterns; Audit API endpoints that accept JSON bodies; Use framework-provided protection (Rails strong_parameters, Spring @JsonIgnore, etc.)",Use allowlist-based parameter binding (DTOs or strong parameters) and never auto-bind raw request data to models.
33,Business Logic Vulnerabilities,High,"Threat-model business workflows during design; Enforce server-side state machine validation for multi-step processes; Validate all business rule constraints server-side (price, quantity, discount); Apply rate limiting and anomaly detection on business-critical flows; Use immutable audit logs for financial or critical transactions; Test edge cases (negative values, zero, max int, step skipping) in QA; Implement 4-eyes or approval workflows for high-value actions; Monitor for unusual transaction patterns","Enforce all business rules server-side, validate workflow state transitions, and monitor for anomalous transaction patterns."
34,JWT Vulnerabilities (None Algorithm / Weak Secret),Critical,"Explicitly validate the alg header and reject 'none'; Use a strong, random secret (>=256 bits) for HMAC; Prefer RS256/ES256 (asymmetric) for distributed systems; Validate iss, aud, exp, nbf claims strictly; Use short token expiry and implement refresh token rotation; Never trust unverified JWT payload data; Use well-maintained JWT libraries and avoid custom implementations; Implement token revocation via JTI denylist for high-security flows; Keep signing keys rotated and stored securely in a secrets manager","Reject 'none' algorithm, use strong keys, validate all claims (exp/aud/iss), and prefer asymmetric signing."
35,Broken Object Level Authorization (BOLA/IDOR in APIs),High,"Enforce ownership/authorization checks on every API endpoint, not just UI; Use UUID instead of sequential IDs for resources; Implement object-level permission middleware; Log and alert on authorization failures; Use API gateways with built-in authz policies; Test each API endpoint with tokens from different users; Apply OWASP API Security Top 10 checks in DAST pipeline; Never rely on obscurity (unguessable IDs) as the sole protection; Use field-level access controls in GraphQL",Enforce server-side ownership checks on every API object access; use UUIDs and test cross-user access in QA.
36,CVE-2021-44228 – Log4Shell (Log4j RCE),Critical,"Upgrade Log4j to 2.17.1+ (Java 8), 2.12.4+ (Java 7), or 2.3.2+ (Java 6); Set log4j2.formatMsgNoLookups=true as an interim mitigation; Remove JndiLookup class from classpath as emergency workaround; Block outbound LDAP/RMI at network level; Scan classpath for vulnerable Log4j versions with tools (logpresso, syft); Apply WAF rules for ${jndi: patterns; Audit all Java dependencies for transitive Log4j usage; Monitor for JNDI callback attempts in network logs","Upgrade Log4j to 2.17.1+, set formatMsgNoLookups=true, block outbound LDAP/RMI, and scan all Java apps for vulnerable versions."
37,CVE-2022-22965 – Spring4Shell (Spring Framework RCE),Critical,"Upgrade Spring Framework to 5.3.18+ or 5.2.20+; Upgrade Spring Boot to 2.6.6+ or 2.5.12+; Upgrade to Tomcat 10.0.20+, 9.0.62+, or 8.5.78+; Requires JDK 9+ to be exploitable — JDK 8 deployments less affected; Apply WAF rules for class.module.classLoader patterns in request parameters; Scan all Spring-based applications for affected versions; Verify update via dependency scanning in CI/CD",Upgrade Spring Framework to 5.3.18+/5.2.20+ and Tomcat to patched versions; block class.module.classLoader parameter access.
38,CVE-2021-26855 – ProxyLogon (Microsoft Exchange SSRF + RCE),Critical,Apply Microsoft Exchange emergency patches (March 2021 CUs) immediately; Run Microsoft's MSERT / Safety Scanner to detect IOCs; Check for webshells in Exchange directories; Audit Exchange logs for exploitation indicators; Restrict Exchange access to required network ranges; Enable Extended Protection for Authentication; Implement network segmentation for Exchange servers; Rotate credentials for any accounts that touched affected servers; Review and remove any unauthorized mailbox rules or forwarding,"Apply March 2021 Exchange patches immediately, scan for webshells and IOCs, and restrict network access to Exchange."
39,CVE-2014-6271 – Shellshock (Bash RCE),Critical,"Update Bash to patched version (>= 4.3 patch 25); Audit all CGI scripts for environment variable injection; Disable CGI where not strictly necessary; Apply WAF rules for Shellshock payload patterns () { :;}; in headers; Scan DHCP, CGI, OpenSSH ForceCommand, Git hooks for exposure; Use process isolation for CGI execution; Apply egress filtering to limit data exfiltration; Review all services that invoke bash with environment variables from user input","Patch Bash to 4.3-25+, disable unnecessary CGI, and apply WAF rules for Shellshock patterns."
40,CVE-2014-0160 – Heartbleed (OpenSSL Memory Disclosure),Critical,"Upgrade OpenSSL to 1.0.1g or later; Revoke and reissue all TLS certificates that were served by vulnerable instances; Rotate all private keys; Invalidate all session tokens and force user re-authentication; Change all passwords that may have been exposed; Audit services using OpenSSL (web servers, VPNs, mail servers, load balancers); Enable Perfect Forward Secrecy (PFS) cipher suites to limit future impact; Apply network monitoring for anomalous TLS traffic patterns","Upgrade OpenSSL to 1.0.1g+, reissue all certificates, rotate private keys, and force user re-authentication."
41,CVE-2017-0144 – EternalBlue (SMBv1 RCE / WannaCry),Critical,Apply Microsoft patch MS17-010 on all Windows systems; Disable SMBv1 entirely (it is legacy and should not be used); Block TCP ports 445 and 139 at perimeter and between network segments; Apply network segmentation to limit lateral movement; Enable Windows Firewall with strict rules; Scan network for SMBv1-enabled hosts using nmap; Implement endpoint detection and response (EDR) solutions; Monitor for unusual SMB traffic patterns; Ensure Windows Update is enabled and current,"Apply MS17-010 immediately, disable SMBv1, and block port 445 at perimeter and between segments."
42,CVE-2021-45105 – Log4j Infinite Recursion DoS,High,"Upgrade Log4j to 2.17.0+ (addresses infinite recursion DoS); Separate from Log4Shell fix — both CVEs must be addressed; Apply same general Log4j hardening (remove JndiLookup, formatMsgNoLookups); Implement application-level rate limiting and timeouts; Monitor for CPU spikes and thread exhaustion in application metrics; Scan for all Log4j versions in all deployed JARs including shaded/uber JARs",Upgrade Log4j to 2.17.0+ to fix infinite recursion DoS (distinct from Log4Shell; both must be patched).
43,GraphQL Security Vulnerabilities (Introspection / DoS / IDOR),High,Disable introspection in production environments; Implement query depth limiting (max 5-10 levels); Apply query complexity analysis and reject high-complexity queries; Rate limit GraphQL endpoints per user/IP; Use query allowlisting (persisted queries) in high-security apps; Enforce field-level authorization; Validate and sanitize all input variables; Avoid exposing sensitive fields in the schema; Use batching limits to prevent batch-based brute force; Apply OWASP GraphQL Cheat Sheet; Monitor query patterns for abuse,"Disable production introspection, enforce depth/complexity limits, rate limit, and apply field-level authorization."
44,Exposed API Keys / Secrets in Source Code,High,"Never hardcode secrets in source code; Use environment variables or a secrets manager (AWS Secrets Manager, HashiCorp Vault, Azure Key Vault); Add .gitignore rules for .env files; Use pre-commit hooks with tools like git-secrets, detect-secrets, or truffleHog; Scan Git history for secrets with tools (gitleaks, truffleHog); Rotate any exposed credentials immediately; Use short-lived tokens and IRSA/Workload Identity where possible; Enable secret scanning in GitHub/GitLab Advanced Security; Audit third-party integrations for hardcoded credentials","Store secrets in a secrets manager, never in code; scan Git history for leaks and rotate any exposed credentials immediately."
45,Misconfigured Cloud Storage (Public S3 / Blob Exposure),High,"Enable Block Public Access settings on all S3 buckets / Azure Blob containers; Audit bucket ACLs and policies regularly; Use bucket policy conditions to restrict access by VPC, IP, or IAM role; Enable S3 Object Ownership to enforce ACL controls; Use AWS Config / Azure Policy for continuous compliance checks; Enable CloudTrail / Azure Monitor for bucket access logging; Apply least-privilege IAM policies for all roles accessing storage; Use pre-signed URLs for time-limited access instead of public ACLs; Scan for public buckets with cloud security posture management (CSPM) tools","Enable Block Public Access, audit ACLs/policies, restrict with IAM and VPC conditions, and use CSPM for continuous monitoring."
